language,filename,blank,comment,code
C,dataracebench/5/1.c,19,56,61
C,dataracebench/6/1.c,20,54,61
C,dataracebench/7/1.c,20,54,61
C,dataracebench/8/1.c,20,54,61
C,dataracebench/105/1.c,7,42,32
C,dataracebench/85/1.c,11,44,32
C,dataracebench/106/1.c,7,50,31
C,dataracebench/117/1.c,8,14,31
C,dataracebench/90/1.c,13,49,31
C,dataracebench/192/1.c,3,13,30
C,dataracebench/193/1.c,3,14,30
C,dataracebench/84/1.c,11,48,29
C,dataracebench/107/1.c,8,42,28
C,dataracebench/194/1.c,5,13,28
C,dataracebench/91/1.c,10,45,28
C,dataracebench/195/1.c,5,17,27
C,dataracebench/169/1.c,11,12,26
C,dataracebench/174/1.c,8,16,26
C,dataracebench/196/1.c,5,13,26
C,dataracebench/197/1.c,5,15,26
C,dataracebench/97/1.c,9,44,26
C,dataracebench/172/1.c,10,12,25
C,dataracebench/182/1.c,2,13,25
C,dataracebench/92/1.c,10,49,25
C,dataracebench/11/1.c,11,44,24
C,dataracebench/173/1.c,8,15,24
C,dataracebench/183/1.c,2,14,24
C,dataracebench/88/1.c,13,46,24
C,dataracebench/135/1.c,7,12,23
C,dataracebench/136/1.c,7,11,23
C,dataracebench/139/1.c,8,15,23
C,dataracebench/176/1.c,4,12,23
C,dataracebench/177/1.c,4,14,23
C,dataracebench/23/1.c,7,46,23
C,dataracebench/79/1.c,7,42,23
C,dataracebench/99/1.c,9,42,23
C,dataracebench/104/1.c,12,44,22
C,dataracebench/111/1.c,9,46,21
C,dataracebench/131/1.c,11,14,20
C,dataracebench/132/1.c,15,11,20
C,dataracebench/133/1.c,13,14,20
C,dataracebench/134/1.c,13,14,20
C,dataracebench/164/1.c,8,14,20
C,dataracebench/19/1.c,11,46,20
C,dataracebench/22/1.c,9,46,20
C,dataracebench/74/1.c,10,46,20
C,dataracebench/89/1.c,12,47,20
C,dataracebench/98/1.c,9,44,20
C,dataracebench/122/1.c,5,13,19
C,dataracebench/13/1.c,14,47,19
C,dataracebench/165/1.c,11,14,19
C,dataracebench/166/1.c,15,11,19
C,dataracebench/167/1.c,13,14,19
C,dataracebench/168/1.c,13,14,19
C,dataracebench/18/1.c,13,46,19
C,dataracebench/20/1.c,8,44,19
C,dataracebench/141/1.c,9,13,18
C,dataracebench/157/1.c,7,14,18
C,dataracebench/17/1.c,14,45,18
C,dataracebench/25/1.c,9,44,18
C,dataracebench/3/1.c,13,43,18
C,dataracebench/35/1.c,12,43,18
C,dataracebench/102/1.c,9,42,17
C,dataracebench/114/1.c,10,43,17
C,dataracebench/115/1.c,9,44,17
C,dataracebench/140/1.c,8,12,17
C,dataracebench/31/1.c,10,43,17
C,dataracebench/65/1.c,11,42,17
C,dataracebench/81/1.c,10,44,17
C,dataracebench/110/1.c,6,42,16
C,dataracebench/116/1.c,10,45,16
C,dataracebench/147/1.c,8,13,16
C,dataracebench/148/1.c,9,15,16
C,dataracebench/28/1.c,8,44,16
C,dataracebench/16/1.c,13,51,15
C,dataracebench/175/1.c,6,16,15
C,dataracebench/29/1.c,10,43,15
C,dataracebench/80/1.c,10,46,15
C,dataracebench/1/1.c,11,43,14
C,dataracebench/10/1.c,9,44,14
C,dataracebench/144/1.c,6,12,14
C,dataracebench/146/1.c,4,11,14
C,dataracebench/153/1.c,5,14,14
C,dataracebench/24/1.c,7,43,14
C,dataracebench/33/1.c,12,43,14
C,dataracebench/37/1.c,10,44,14
C,dataracebench/39/1.c,10,42,14
C,dataracebench/59/1.c,11,45,14
C,dataracebench/14/1.c,12,56,13
C,dataracebench/145/1.c,5,12,13
C,dataracebench/129/1.c,6,15,12
C,dataracebench/130/1.c,6,13,12
C,dataracebench/151/1.c,6,13,12
C,dataracebench/77/1.c,4,42,12
C,dataracebench/109/1.c,6,43,11
C,dataracebench/137/1.c,9,12,11
C,dataracebench/138/1.c,6,13,11
C,dataracebench/9/1.c,9,44,11
SUM,,906,3076,2106
